a8,b8,c8,d8,e8,f8,g8,h8,a7,b7,c7,d7,e7,f7,g7,h7,a6,b6,c6,d6,e6,f6,g6,h6,a5,b5,c5,d5,e5,f5,g5,h5,a4,b4,c4,d4,e4,f4,g4,h4,a3,b3,c3,d3,e3,f3,g3,h3,a2,b2,c2,d2,e2,f2,g2,h2,a1,b1,c1,d1,e1,f1,g1,h1,em_xeque,dando_xeque,pos_inicial,pos_final,mov_opt, xeque_mate
no,wk,no,wt,no,no,no,no,wp,wp,wp,no,no,wp,wp,no,no,no,no,no,no,no,no,no,no,no,no,wp,no,no,no,no,bq,no,bp,no,no,no,no,wp,no,no,no,no,no,no,wp,no,bp,bp,no,no,wq,bh,no,no,no,no,no,bt,no,bt,no,bk,0,0,g3,f2,0.75,0
no,wk,no,wt,no,no,no,no,wp,wp,wp,no,no,wp,wp,no,no,no,no,no,no,no,no,no,no,no,no,wp,no,no,no,no,bq,no,bp,no,no,no,no,wp,no,no,no,no,no,no,no,no,bp,bp,no,no,wq,wp,bk,no,no,no,no,bt,no,bt,no,no,0,0,d8,d6,0.75,0
no,wk,no,no,no,no,no,no,wp,wp,wp,no,no,wp,wp,no,no,no,no,wt,no,no,no,no,no,no,no,wp,no,no,no,no,bq,no,bp,no,no,no,no,wp,no,no,no,bt,no,no,no,no,bp,bp,no,no,wq,wp,bk,no,no,no,no,no,no,bt,no,no,0,1,d6,g6,0.75,0
no,wk,no,no,no,no,no,no,wp,wp,wp,no,no,wp,wp,no,no,no,no,no,no,no,wt,no,no,no,no,wp,no,no,no,no,bq,no,bp,no,no,no,no,wp,no,no,no,no,no,no,bt,no,bp,bp,no,no,wq,wp,bk,no,no,no,no,no,no,bt,no,no,0,1,e2,e4,0.75,0
no,wk,no,no,no,no,no,no,wp,wp,wp,no,no,wp,wp,no,no,no,no,no,no,no,wt,no,no,no,no,wp,no,no,no,no,bq,no,bp,no,wq,no,no,wp,no,no,no,no,no,no,bt,no,bp,bp,no,no,no,bk,no,no,no,no,no,no,no,bt,no,no,0,1,e4,f4,0.75,0
no,wk,no,no,no,no,no,no,wp,wp,wp,no,no,wp,wp,no,no,no,no,no,no,no,wt,no,no,no,no,wp,no,no,no,no,bq,no,bp,no,no,wq,no,wp,no,no,no,no,no,bt,no,no,bp,bp,no,no,no,bk,no,no,no,no,no,no,no,bt,no,no,0,1,f4,d2,0.75,0
no,wk,no,no,no,no,no,no,wp,wp,wp,no,no,wp,wp,no,no,no,no,no,no,no,wt,no,no,no,no,wp,no,no,no,no,bq,no,bp,no,no,no,no,wp,no,no,no,no,no,bt,no,no,bp,bp,no,wq,no,bk,no,no,no,no,no,no,no,bt,no,no,0,1,f4,d2,0.75,1







